Material Property,C12/15,C16/20,C20/25,C25/30,C30/37,C35/45,C40/50,C45/55,C50/60,C55/67,C60/75,C70/85,C80/95,C90/105
f_ck [MPa],12,16,20,25,30,35,40,45,50,55,60,70,80,90
f_ck_cube [MPa],15,20,25,30,37,45,50,55,60,67,75,85,95,105
f_cm [MPa],20,24,28,33,38,43,48,53,58,63,68,78,88,98
f_ctm [MPa],1.6,1.9,2.2,2.6,2.9,3.2,3.5,3.8,4.1,4.2,4.4,4.6,4.8,5
f_ctk_0_05 [MPa],1.1,1.3,1.5,1.8,2,2.2,2.5,2.7,2.9,3,3.1,3.2,3.4,3.5
f_ctk_0_95 [MPa],2,2.5,2.9,3.3,3.8,4.2,4.6,4.9,5.3,5.5,5.7,6,6.3,6.6
E_cm [GPa],27,29,30,31,33,34,35,36,37,38,39,41,42,44
strain_c1 [%],1.8,1.9,2,2.1,2.2,2.25,2.3,2.4,2.45,2.5,2.6,2.7,2.8,2.8
strain_cu1 [%],3.5,3.5,3.5,3.5,3.5,3.5,3.5,3.5,3.5,3.2,3,2.8,2.8,2.8
strain_c2 [%],2,2,2,2,2,2,2,2,2,2.2,2.3,2.4,2.5,2.6
strain_cu2 [%],3.5,3.5,3.5,3.5,3.5,3.5,3.5,3.5,3.5,3.1,2.9,2.7,2.6,2.6
n,2,2,2,2,2,2,2,2,2,1.75,1.6,1.45,1.4,1.4
strain_c3 [%],1.75,1.75,1.75,1.75,1.75,1.75,1.75,1.75,1.75,1.8,1.9,2,2.2,2.3
strain_cu3 [%],3.5,3.5,3.5,3.5,3.5,3.5,3.5,3.5,3.5,3.1,2.9,2.7,2.6,2.6
